Order_ID_JD,Real_Name_User(ID Card),Seller_Information_(ID Card),Product_Information_JD,Product_Amount_JD,Order_Creation_Time_JD,Payment_Time_JD,Shipping_Time_JD,Receiving_Time_JD,Refund_Time_JD,Return_Time_JD,Payment_Amount_JD,Refund_Amount_JD,Platform_Type_JD
1eead9b2-83b8-4b77-a3c4-1010d55e0058,320000199610016102,640000197906095642,电脑办公显示器华硕ROG Swift PG259QN,631.21,2024-08-07 21:19:03,2024-08-07 21:19:03,2024-08-11 15:10:48,2024-07-22 14:31:23,9999,9999,631.21,631.21,JD
f5c4fe6a-9a5c-4f0d-b7d7-78bbda374076,320000199610016102,220000198905024152,个护清洁牙膏舒客舒客清新薄荷,988.71,2024-08-07 21:19:03,2024-08-07 21:19:03,2025-03-06 13:08:15,2024-01-21 09:17:12,9999,9999,988.71,0.0,JD
84fa3bb7-04fd-4e64-976d-8d42fc6c89c9,320000195508140555,450000198610198289,鞋靴运动鞋安德玛Under Armour Curry,547.15,2024-08-07 21:19:03,2024-08-07 21:19:03,2024-08-16 19:48:15,2025-07-12 17:38:44,9999,9999,547.15,0.0,JD
bce1754b-7896-4cd8-9465-301d100ea4f1,620000196507224023,230000195104178264,鞋靴皮鞋本尼Benny Leather Shoes,963.14,2024-08-07 21:19:03,2024-08-07 21:19:03,2025-02-27 13:01:28,2024-01-13 13:10:07,9999,9999,963.14,963.14,JD
bc16a4a6-0f40-4d4c-943d-112cd9480154,220000198905024152,620000196507224023,电脑办公笔记本电脑华硕ZenBook 14 OLED,730.31,2024-08-07 21:19:03,2024-08-07 21:19:03,2025-11-01 14:12:59,2025-01-28 10:51:45,9999,9999,730.31,0.0,JD
655dce09-3084-4c81-82d1-215443349981,430000197106229113,320000199610016102,儿童用品婴儿用品好孩子Goodbaby High Chair,905.85,2024-08-07 21:19:03,2024-08-07 21:19:03,2025-04-29 18:56:52,2025-09-24 22:17:02,9999,9999,905.85,905.85,JD
8f987f87-74df-4405-8082-1c45071f904c,430000197106229113,520000200504041497,鞋靴靴子ColumbiaColumbia Minx,87.23,2024-08-07 21:19:03,2024-08-07 21:19:03,2024-05-27 08:23:34,2024-04-07 05:16:16,9999,9999,87.23,0.0,JD
019e620b-ce81-4748-805f-5f81cac9541f,620000196507224023,320000195508140555,钟表珠宝珠宝宝格丽Bvlgari Serpenti,965.15,2024-08-07 21:19:03,2024-08-07 21:19:03,2024-01-01 19:01:50,2024-12-05 19:18:29,9999,9999,965.15,965.15,JD
f4aed1b3-e1c4-4609-ab19-cecf180bdd2a,520000200504041497,520000200504041497,食品酒饮零食好丽友好丽友巧克力,924.5,2024-08-07 21:19:03,2024-08-07 21:19:03,2024-09-02 22:47:35,2024-06-10 01:52:43,9999,9999,924.5,0.0,JD
3008e72b-99fd-4a26-89d4-0845664f332b,320000195508140555,220000198905024152,家具厨具微波炉美的M1-L213B 20L,293.81,2024-08-07 21:19:03,2024-08-07 21:19:03,2024-12-28 10:39:29,2025-11-17 15:14:45,9999,9999,293.81,0.0,JD
