Order_ID_TB,Real_Name_User(ID Card),Seller_Information_(ID Card),Product_Information_TB,Product_Amount_TB,Order_Creation_Time_TB,Payment_Time_TB,Shipping_Time_TB,Receiving_Time_TB,Refund_Time_TB,Return_Time_TB,Payment_Amount_TB,Refund_Amount_TB,Platform_Type_TB
a83b9bd8-c223-4d33-b518-4a2d4f49b52b,340000197101135407,230000199509257321,保健运动健康博朗博朗健康秤,165.71,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-07-28 13:09:50,2024-06-07 19:04:16,9999,9999,165.71,165.71,TB
6b7e07b2-18d3-4346-9a05-0065a3850add,140000195811056213,610000195709299553,母婴婴儿用品宝宝乐宝宝乐婴儿车,143.94,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-08-23 12:47:26,2024-10-08 11:41:46,9999,9999,143.94,0.0,TB
126a59db-3610-44a1-a388-d703c5864444,410000195503052136,420000197002138573,儿童用品婴儿用品宝宝乐Babylea Baby Carrier,28.42,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-01-20 19:01:57,2024-06-03 11:23:55,9999,9999,28.42,0.0,TB
db83b74c-0355-4e7f-ab80-f826149d11f7,410000195503052136,650000198006235511,食品酒饮酒类剑南春剑南春经典,153.63,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-01-26 01:58:12,2025-07-24 01:59:26,9999,9999,153.63,153.63,TB
60d9d370-ee74-4d9e-8fa2-8537380cd3f0,630000195107244604,540000200203257079,鞋靴运动鞋New BalanceNew Balance 990v5,939.43,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-02-22 00:28:49,2024-02-23 03:45:38,9999,9999,939.43,939.43,TB
8377696a-cff0-4c54-bc9e-86f912ace074,630000195107244604,540000200203257079,箱包行李箱American TouristerAmerican Tourister Moonlight,163.49,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-05-06 22:36:38,2025-03-12 15:57:58,9999,9999,163.49,0.0,TB
6193ea7f-6e08-4382-af8a-eaa5612b96ac,630000195107244604,150000197602107513,美妆护肤彩妆ChanelChanel粉底,551.47,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-10-17 03:44:48,2024-04-23 15:30:03,9999,9999,551.47,551.47,TB
87712416-77d3-43a3-a684-345f01a94342,13000020031014011X,230000199509257321,运动户外户外装备北面The North Face Verto,91.75,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-05-19 15:45:51,2024-01-23 14:35:48,9999,9999,91.75,91.75,TB
f0641fb7-8281-49cb-97ed-82cb7567e669,410000195503052136,440000198407107968,家电洗衣机博世Bosch Serie 8,200.93,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-11-28 22:17:55,2024-09-28 11:42:03,9999,9999,200.93,0.0,TB
366a883d-ca48-4e89-a480-493afce8a9c1,64000019700729236X,150000197602107513,儿童用品婴儿用品宝宝乐Babylea Diaper Bag,774.18,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-08-16 08:56:28,2025-10-24 01:10:42,9999,9999,774.18,774.18,TB
51223208-d8e0-4ccd-bed9-7b2d2f779936,140000195811056213,650000198006235511,文具用品文件夹FellowesFellowes Store Station,173.61,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-12-18 08:26:12,2025-12-22 05:54:22,9999,9999,173.61,0.0,TB
cc89c86c-9bd7-488c-b503-2e7f8724abc9,340000197101135407,650000198006235511,医药维生素钙尔奇钙尔奇D片,832.22,2024-07-28 19:43:01,2024-07-28 19:43:01,2024-04-07 06:54:31,2024-11-18 08:07:16,9999,9999,832.22,832.22,TB
5acc8b85-95c0-42f7-9b8b-b7c9ead63300,540000195702172287,420000197002138573,文具用品笔ParkerParker Sonnet,270.99,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-07-21 05:36:26,2025-08-15 02:48:34,9999,9999,270.99,0.0,TB
7baf620a-b4a0-4e6e-8357-236f06d09530,140000195811056213,420000197002138573,运动户外健身器材迪卡侬Decathlon Dumbbells,545.65,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-08-23 13:33:56,2025-01-23 16:41:58,9999,9999,545.65,0.0,TB
1ee36981-9394-4ddf-b798-660372c5766c,510000197907301576,460000200405183418,医药止咳药润喉片润喉片（薄荷）,149.44,2024-07-28 19:43:01,2024-07-28 19:43:01,2025-03-19 08:48:20,2024-05-17 18:06:48,9999,9999,149.44,149.44,TB
