ID,Transaction_Limit
510000196907056123,57245.92550164016
230000197405163102,60708.346430083
210000200604183633,46619.16785850586
34000019640409728X,61908.29042904291
340000197902276285,43076.51053873388
230000199609291754,320233.90141806175
650000196902289746,153985.2853808981
410000195802183494,126521.64288876885
510000198808090448,73524.66318631862
620000199701248807,120048.60891749171
140000197804245621,94083.51078307832
410000197812010422,183916.92773341332
320000197605082886,130410.64047811781
110000195103052769,33295.39561488149
350000199203306626,1128.7317194519453
460000199605090376,70221.44817686769
120000199811280674,325264.64303422335
210000196303202459,342484.9641629563
330000197203243589,259759.35963996395
460000198712130615,44169.270552055204
12000019550705210X,115760.75124824484
420000198103074630,130081.73025742572
110000196312142298,90111.36876237622
44000019591107628X,34976.90614653465
500000195608244048,108528.79416757678
620000195011159390,105145.2631279928
370000196108021075,42214.2849369737
440000195003050092,15613.542751035102
140000198202056182,51016.0095489549
120000198505263206,135666.13773105308
320000200005278441,56869.908125852584
530000198909167591,51773.80613332334
330000199902166999,147357.98978745876
520000195705188184,50332.22927815782
140000196410108777,89288.52883752374
360000195309279236,83764.46802978299
320000200610097059,101395.13504682465
140000196911253155,46906.754697349745
460000197003279711,174041.1254955295
51000019511120638X,55852.090496399636
500000195503299886,83382.15329120912
500000198008286694,11256.229475947594
44000019890116655X,73636.27128568856
220000199804066008,166015.54920540054
610000195308237773,117451.75499613961
440000200110235301,118302.52707605762
450000199201037040,48489.67344609461
320000197901305191,89639.88006462646
530000195206175444,80244.92965091509
420000197207139211,109005.9903551955
110000196107033172,249571.99422470242
220000197308279398,424049.44823134306
340000196008064451,45309.84960353034
150000198106031681,111697.16987740772
350000196604062956,57051.27924824482
350000196005189947,86464.62004072408
320000197504307548,791.5445189318931
500000197706219216,110605.45104598459
360000198802157746,93709.77415841585
150000196602274886,58767.413113311326
330000196807096685,281840.0101155715
22000019860518092X,47285.055794419444
530000197006217303,110031.64128382839
630000197312166739,105992.60945886592
150000196008088685,60832.84812475246
500000197309129276,121959.61656165618
310000198812046100,165366.16970897088
410000200103249638,38002.45873906391
310000195302100046,81662.64504059406
530000200406163142,140128.93931117113
440000197001206160,84381.95923528352
340000200008164726,60695.27787353736
440000198312195707,109548.24727672769
110000196801229634,10004.99963671367
520000195603299334,138058.90347434743
23000019970923161X,80579.34877191718
54000020000706646X,100016.03642988297
110000196203099374,38362.7833180018
620000198105195687,10024.20738841884
530000197912105899,54741.1495649865
540000195210269859,5033.707382378228
210000195305201084,58618.46472959296
630000199011234477,62341.782152915286
530000195005088096,220772.77836759677
360000195003184090,51679.97177533754
310000195811199689,105526.28264951493
140000200503017654,178061.985740054
620000200508147241,18584.272367236725
420000197308316643,63545.84114843483
340000200204085232,119081.55534162417
650000195006062952,112088.82313231322
130000199005243184,51413.85033828382
120000198009026244,3491.9711071107113
120000197110121217,247079.4424443244
510000197212175761,60722.13944394439
430000195308142244,81187.43879693968
320000199402148776,18719.829273807372
230000199109231050,31231.795061746172
340000199306080437,123243.92693733374
330000196108073660,31109.55823636364
610000196805234201,215164.6094385839
23000019630618937X,43828.80198019801
540000196802083075,62540.33000639064
460000195701213868,55520.48170017002
46000019950406016X,30206.09269244924
510000199312197633,117982.135960016
540000197711240463,84945.853720112
360000196601305205,153089.89706610658
610000195004264772,264032.564731033
640000198907316448,102808.78515021502
41000019981014395X,110080.7607231023
530000195607016938,52810.270172457225
350000197809292872,109762.1358610261
610000200602192231,77370.61100018003
540000198504225871,82390.81293105311
650000196808230684,78818.22641422143
510000198009041762,122686.7324972497
130000195605230039,86788.49667338733
120000196201213024,64184.6311891989
450000196608204214,132021.33514663464
150000200008104971,126420.60396039604
650000196404157089,175717.87128712868
340000196910218849,22476.38032475247
510000197110140592,41134.8405280528
120000195104106687,67865.02912116211
320000200010248263,56736.23535598559
120000200406222134,152702.90134752472
110000197305195564,119309.31356354635
520000200509229632,126809.34378463843
530000195102074219,111293.73507225723
500000196812156998,47263.616894689454
360000200206123611,62080.28865034503
540000199306059328,9194.772323312329
210000200603098023,192732.0140519052
650000196104301923,234107.74722068204
420000197501263141,95849.75435059505
220000195112132707,41547.610528292826
210000195406066678,130123.77018981897
15000019820908791X,1225.714796479648
230000197206176111,106022.48409315932
520000195707311588,77789.23626362636
420000199209263207,130742.95346952697
650000197309044726,104187.83477947795
340000198305172036,80783.38499378937
360000197302145357,126258.1371923492
650000197703059942,76855.14121732174
110000199712157740,86344.3767389639
640000196402012175,143353.70701485148
21000019830813137X,279201.01540966093
520000195909301695,55325.02300855085
34000020040720107X,89426.60191969197
430000199203319718,72727.38341975198
450000200203288172,55554.293729502955
510000195002119631,108.12947542754272
320000195306230384,64639.81911791178
510000196404122408,115929.78032139214
130000196605199363,75433.51488613861
500000195711263183,43780.40349274927
630000195708034709,117541.34030139011
360000195812249835,402291.8998179818
320000196304157376,32174.42014741474
540000198003034399,158670.43393146314
150000196509178988,142266.63345634562
640000198903128183,113471.69054905494
370000199208179607,71005.25393384339
620000197811203977,124442.96645674566
510000200301198310,97874.82779191919
110000199309132842,36815.41039378938
140000198704135083,748.0782783078307
130000195009084741,124537.47290765078
520000199901267259,90938.47205764575
360000195511106929,77352.08793969393
650000199909244720,110768.93589326931
340000200611232455,71400.28126572657
410000199705276902,81770.98566381639
430000195406240147,131068.3919950395
230000200312113928,35165.7439669967
510000199404150592,102037.82038837882
110000197607077360,67132.75955072507
350000199209027396,45140.50705934593
430000195512092563,49031.89271221122
440000199711023392,100275.03270090008
420000200204065952,52539.809955535544
140000197807244392,11384.866228302832
520000196408216315,23154.066391639168
630000199710284609,134679.01165841587
350000198609112026,102797.41242948295
330000196406172448,100228.66523725372
350000198404066812,42961.10752007201
610000200607236053,96844.1244367237
440000199207087936,136586.1703639464
140000198203095917,110912.22785341534
440000196102211642,117300.16207053704
330000198609011184,179389.6013643564
620000198701245038,140619.32576358633
340000195903131265,140586.8251568857
140000198410203765,174832.81313656367
410000196405043580,153055.33816965693
510000199207263803,113206.28949801979
610000197702116290,926.2576339633963
150000200210319714,42012.66048184819
44000019900405662X,123538.74778403841
120000200108014935,58569.62133141314
440000196403209896,147836.33651330133
370000200206282331,30639.83779531953
610000199711205753,130078.93093599357
120000199611153267,52992.922399999996
22000019870421155X,50877.05409867988
420000195502285386,93235.0714571457
540000198603110244,372085.09634411434
500000195302214137,66177.27171629161
360000200105071744,118993.80248856885
140000200207258752,75001.15366224623
210000199707092544,83492.20589498947
410000195503082300,39079.40969696969
110000197205074394,291051.60011493147
370000195311277346,16443.62737681768
610000196007301991,78984.29968217823
450000197906047100,52364.969821782186
420000198312115558,183342.72593689366
44000019531017065X,37644.87464682468
110000199207282911,125178.99606787681
220000199112290033,114601.80325068507
36000019911023563X,69517.78144558455
640000195807028162,98042.003580198
210000196003270222,75702.05044752476
370000198111039638,91211.71181118111
500000199609249535,20598.01431231123
640000196703295893,103228.51586934694
340000199808290004,185952.17690613057
