Order_ID_JD,Real_Name_User(ID Card),Seller_Information_(ID Card),Product_Information_JD,Product_Amount_JD,Order_Creation_Time_JD,Payment_Time_JD,Shipping_Time_JD,Receiving_Time_JD,Refund_Time_JD,Return_Time_JD,Payment_Amount_JD,Refund_Amount_JD,Platform_Type_JD
3a7bb3bf-ca87-40dc-951f-36194369e940,340000195706277871,450000196703256186,家具厨具餐桌红苹果HH-101 Solid Wood,551.55,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-05-30 20:54:11,2025-11-16 02:12:19,9999,9999,551.55,0.0,JD
304971a6-d539-444e-b3a3-b59f09f12893,530000197506034773,500000195111239972,"鞋靴靴子TimberlandTimberland 6"" Premium",83.65,2024-08-20 03:49:00,2024-08-20 03:49:00,9999,9999,9999,9999,83.65,0.0,JD
ee11c7f9-33b1-469f-bd8f-733e4585664c,340000195706277871,230000198907202276,母婴孕妇用品孕妇奶粉孕妇奶粉C,34.71,2024-08-20 03:49:00,2024-08-20 03:49:00,9999,9999,9999,9999,34.71,0.0,JD
752febb9-d875-45f4-959b-64eecc78cdfc,450000197402288488,420000195903311792,钟表珠宝手表爱彼Audemars Piguet Royal Oak,313.58,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-04-23 04:26:33,2025-08-03 09:32:06,2025-09-25 22:19:04,2025-05-07 18:40:53,313.58,313.58,JD
e4f54bf5-cbf4-48d4-aed3-667206c58d06,320000199806261839,230000198907202276,儿童用品婴儿用品贝亲Pigeon Baby Bottles,154.44,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-07-01 23:24:35,2025-07-07 01:34:13,9999,9999,50.9,0.0,JD
7f4cc81c-354f-4200-9a69-0985b7ec7885,110000199604119763,530000197506034773,家居家装家居用品宜家KALLAX Storage,721.08,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-05-27 09:14:56,2024-01-23 10:50:45,2025-01-08 13:00:29,2026-12-02 20:20:42,721.08,721.08,JD
779af4bb-5153-43e1-ad1d-895df878a43b,310000195103225110,330000199103075978,食品酒饮酒类剑南春剑南春经典,197.17,2024-08-20 03:49:00,2024-08-20 03:49:00,9999,9999,9999,9999,197.17,0.0,JD
9f788036-0f1a-408c-8654-ac225834658f,54000019550707725X,620000195906244895,保健运动健康迪卡侬迪卡侬跑步机,465.1,2024-08-20 03:49:00,2024-08-20 03:49:00,2025-04-04 09:27:37,2025-09-18 05:03:08,9999,9999,465.1,0.0,JD
dce8526b-c6f4-4bab-9f17-d53709cc207b,110000199604119763,320000199806261839,个护清洁洗发水海飞丝海飞丝清凉控油,808.13,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-11-20 08:11:09,2024-01-24 20:10:50,9999,9999,808.13,0.0,JD
421d3773-af41-49f1-b8ee-3f9891b78fd2,640000199212048023,340000196110176716,"手机平板电脑三星Galaxy Tab A8 10.5""",549.91,2024-08-20 03:49:00,2024-08-20 03:49:00,2024-10-03 23:46:19,2025-06-22 18:57:29,9999,9999,549.91,0.0,JD
